OID_,src_GEOID,nbr_GEOID,LENGTH
1,720019563001,720019563002,15129.936025206083286
2,720019563001,720019564001,10649.813961265334001
3,720019563001,720019565001,1922.937328715735930
4,720019563001,720019565002,2059.225125519478297
5,720019563001,721419571001,4159.472279089860422
6,720019563001,721419571003,0.000000000000000
7,720019563001,721419572002,6569.489494231774188
8,720019563002,720019563001,15129.936025206083286
9,720019563002,720019565001,4939.311735543658870
10,720019563002,720019566001,2140.747492544795477
11,720019563002,720019566002,100.250484787359454
12,720019563002,720019568001,6527.615565132272422
13,720019563002,721419572002,917.205950929804317
14,720019563002,721419572003,1981.134854609907507
15,720019563002,721419576002,1770.396280518773210
16,720019563002,721419576003,255.274746290034187
17,720019564001,720019563001,10649.813961265334001
18,720019564001,720019564002,10722.974858845836934
19,720019564001,720019565002,3429.394479115132526
20,720019564001,720819582001,727.933336215539612
21,720019564001,720819583001,1321.269740621569326
22,720019564001,720819584001,1116.823547778374632
23,720019564001,721419571001,0.000000000000000
24,720019564001,721419571003,5879.393659680396013
25,720019564002,720019564001,10722.974858845836934
26,720019564002,720019565002,3037.991777819722756
27,720019564002,720819584001,5604.052336182755425
28,720019564002,720819584002,2543.449106159773692
29,720019564002,721537501011,2979.667189071520625
30,720019565001,720019563001,1922.937328715735930
31,720019565001,720019563002,4939.311735543658870
32,720019565001,720019565002,8732.227008208685220
33,720019565001,720019566002,2999.382100487955995
34,720019565001,720019567002,508.180367122182133
35,720019565001,720019568002,9253.357930705013132
36,720019565001,721117302002,2472.952534088452467
37,720019565002,720019563001,2059.225125519478297
38,720019565002,720019564001,3429.394479115132526
39,720019565002,720019564002,3037.991777819722756
40,720019565002,720019565001,8732.227008208685220
41,720019565002,720597401011,3844.842532838737498
42,720019565002,721117302002,12.209197233337562
43,720019565002,721537501011,3370.069358848378670
44,720019566001,720019563002,2140.747492544795477
45,720019566001,720019566002,1340.026446195416838
46,720019566001,720019567001,1507.675363229886443
47,720019566001,720019568001,1158.768668536756650
48,720019566002,720019563002,100.250484787359454
49,720019566002,720019565001,2999.382100487955995
50,720019566002,720019566001,1340.026446195416838
51,720019566002,720019567001,110.134437967515396
52,720019566002,720019567002,1053.281419083495166
53,720019567001,720019566001,1507.675363229886443
54,720019567001,720019566002,110.134437967515396
55,720019567001,720019567002,494.765826677490168
56,720019567001,720019568001,3551.421255858341738
57,720019567002,720019565001,508.180367122182133
58,720019567002,720019566002,1053.281419083495166
59,720019567002,720019567001,494.765826677490168
60,720019567002,720019568001,547.442332462130935
61,720019567002,720019568002,559.731193548524743
62,720019568001,720019563002,6527.615565132272422
63,720019568001,720019566001,1158.768668536756650
64,720019568001,720019567001,3551.421255858341738
65,720019568001,720019567002,547.442332462130935
66,720019568001,720019568002,7166.613470513422726
67,720019568001,721419576003,8931.706169381592190
68,720019568002,720019565001,9253.357930705013132
69,720019568002,720019567002,559.731193548524743
70,720019568002,720019568001,7166.613470513422726
71,720019568002,721117301002,3096.619215693449405
72,720019568002,721117301003,2018.487881159543804
73,720019568002,721117302002,4466.961994309906913
74,720019568002,721130726001,863.550797438039581
75,720019568002,721130729001,4037.297964479238999
76,720019568002,721419576003,1116.683787346449208
77,720034301001,720034301003,1884.533648498356342
78,720034301001,720034302001,1363.684675364801933
79,720034301001,720034302003,386.499592029392886
80,720034301001,720054012001,282.809576920885547
81,720034301001,720054015001,4203.816626304908823
82,720034301002,720034301003,2857.218270943591961
83,720034301002,720034304021,1846.643681595338876
84,720034301002,720034304023,788.821831522364050
85,720034301002,720054012002,1315.021413103477698
86,720034301002,720994205002,3015.801308960589722
87,720034301003,720034301001,1884.533648498356342
88,720034301003,720034301002,2857.218270943591961
89,720034301003,720034302003,2432.091756089855153
90,720034301003,720034304011,733.277014303119358
91,720034301003,720034304012,1532.924476509340366
92,720034301003,720034304013,951.682842643837716
