GISJOIN,YEAR,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,U7B001,U7B002,U7B003,U7B004,U7B005,U7B006,U7B007,U7B008,U7B009,U7B010,U7B011,U7B012,U7B013,U7B014,U7B015,U7B016,U7B017,U7B018,U7B019,U7B020,U7B021,U7B022,U7B023,U7B024,U7B025,U7B026,U7B027,U7B028,U7B029,U7B030,U7B031,U7B032,U7B033,U7B034,U7B035,U7B036,U7B037,U7B038,U7B039,U7B040,U7B041,U7B042,U7B043,U7B044,U7B045,U7B046,U7B047,U7B048,U7B049,U7B050,U7B051,U7B052,U7B053,U7B054,U7B055,U7B056,U7B057,U7B058,U7B059,U7B060,U7B061,U7B062,U7B063,U7B064,U7B065,U7B066,U7B067,U7B068,U7B069,U7B070,U7B071
"G72012508403003","2020","1500000US721258403003","721258403003","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840300","3",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"8200124","1393","3","Block Group 3","S","+18.0648380","-066.9970685","BG",2264,1051,353,114,15,0,1,568,1213,1171,23,1,0,0,1030,1,0,0,109,1,0,6,0,0,0,26,9,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012508404001","2020","1500000US721258404001","721258404001","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840400","1",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"2147614","3885","1","Block Group 1","S","+18.0815718","-067.0243544","BG",1877,812,337,88,2,6,0,379,1065,998,6,7,0,0,867,0,0,0,100,2,0,11,0,0,5,43,11,0,0,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012508404002","2020","1500000US721258404002","721258404002","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840400","2",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"4072081","0","2","Block Group 2","S","+18.0658819","-067.0274258","BG",985,459,229,25,3,0,0,202,526,500,0,0,0,0,471,0,0,0,28,0,0,1,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012508404003","2020","1500000US721258404003","721258404003","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840400","3",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"601341","0","3","Block Group 3","S","+18.0754789","-067.0253238","BG",2202,1054,532,63,8,3,1,447,1148,1061,13,0,0,0,936,0,0,0,104,0,0,8,0,0,0,45,5,0,0,36,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012508405001","2020","1500000US721258405001","721258405001","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840500","1",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"3045354","3806","1","Block Group 1","S","+18.0898085","-067.0407637","BG",1748,801,315,53,8,2,1,422,947,858,12,0,0,0,759,2,0,0,79,0,0,6,0,0,0,76,15,0,0,52,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012508405002","2020","1500000US721258405002","721258405002","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840500","2",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"2374642","501","2","Block Group 2","S","+18.0894925","-067.0554920","BG",2042,1058,459,81,12,5,0,501,984,924,3,8,3,0,841,1,0,1,52,0,0,11,0,0,4,41,11,0,0,20,0,0,1,0,0,0,0,0,6,0,3,0,0,0,0,0,17,1,0,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"G72012508406001","2020","1500000US721258406001","721258406001","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840600","1",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"12930069","251","1","Block Group 1","S","+18.0875133","-067.0702917","BG",1922,827,305,60,4,0,1,457,1095,1037,11,2,1,0,931,0,0,0,87,0,0,4,0,0,1,42,10,0,0,28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"G72012508406002","2020","1500000US721258406002","721258406002","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840600","2",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"10399604","10376","2","Block Group 2","S","+18.0827409","-067.0990370","BG",632,253,100,18,3,0,0,132,379,360,2,2,0,0,304,3,0,0,48,0,0,1,0,0,0,13,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012508406003","2020","1500000US721258406003","721258406003","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840600","3",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"2160134","0","3","Block Group 3","S","+18.0810480","-067.0805214","BG",1603,729,273,91,12,0,0,353,874,859,14,4,0,0,705,0,0,0,135,0,0,0,0,0,1,12,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72012508407001","2020","1500000US721258407001","721258407001","9","0","Puerto Rico","72","San Germán Municipio","125",,,,,,,"840700","1",,,,,,,,"41900","1","364","99999",,,,,,,,,,,,,,,"248277","0","1","Block Group 1","S","+18.0783102","-067.0360498","BG",685,325,145,31,2,1,0,146,360,351,5,1,0,0,319,2,0,0,23,0,0,1,0,0,0,7,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
