BLOCKID|DISTRICT
720019568001027|022
720019568001028|022
720019568001029|022
720019568001030|022
720019568001031|022
720019568001032|022
720019568001033|022
720019568001034|022
720019568001035|022
720019568001036|022
720019568001037|022
720019568001038|022
720019568001039|022
720019568001040|022
720019568001041|022
720019568001042|022
720019568001043|022
720019568001044|022
720019568001045|022
720019568001046|022
720019568001047|022
720019568001048|022
720019568002000|022
720019568002001|022
720019568002002|022
720019568002003|022
720019568002004|022
720019568002005|022
720019568002006|022
720019568002007|022
720019568002008|022
720019568002009|022
720019568002010|022
720019568002011|022
720019568002012|022
720019568002013|022
720019568002014|022
720019568002015|022
720019568002016|022
720019568002017|022
720019568002018|022
720019568002019|022
720019568002020|022
720019568002021|022
720019568002022|022
720019568002023|022
720019568002024|022
720019568002025|022
720019568002026|022
720019568002027|022
720019568002028|022
720019568002029|022
720019568002030|022
720019568002031|022
720019568002032|022
720019568002033|022
720019568002034|022
720019568002035|022
720019568002036|022
720019568002037|022
720019568002038|022
720019568002039|022
720019568002040|022
720019568002041|022
720019568002042|022
720019568002043|022
720019568002044|022
720019568002045|022
720019568002046|022
720019568002047|022
720019568002048|022
720019568002049|022
720019568002050|022
720019568002051|022
720019568002052|022
720019568002053|022
720019568002054|022
720019568002055|022
720019568002056|022
720019568002057|022
720019568002058|022
720019568002059|022
720019568002060|022
720019568002061|022
720019568002062|022
720019568002063|022
720019568002064|022
720019568002065|022
720019568002066|022
720019568002067|022
720019568002068|022
720019568002069|022
720019568002070|022
720019568002071|022
720019568002072|022
720019568002073|022
720019568002074|022
720019568002075|022
720019568002076|022
720034301001000|ZZZ
720034301001001|018
720034301001002|018
720034301001003|018
720034301001004|018
720034301001005|018
720034301001006|018
720034301001007|018
720034301001008|018
720034301001009|018
720034301001010|018
720034301001011|018
720034301001012|018
720034301001013|018
720034301001014|018
720034301001015|018
720034301001016|018
720034301001017|018
720034301001018|018
720034301001019|018
720034301001020|018
720034301001021|018
720034301002000|018
720034301002001|018
720034301002002|018
720034301002003|018
720034301002004|018
720034301002005|018
720034301002006|018
720034301002007|018
720034301002008|018
720034301002009|018
720034301002010|018
720034301002011|018
720034301003000|018
720034301003001|018
720034301003002|018
720034301003003|018
720034301003004|018
720034301003005|018
720034301003006|018
720034301003007|018
720034301003008|018
720034301003009|018
720034301003010|018
720034301003011|018
720034301003012|018
720034301003013|018
720034301003014|018
720034301003015|018
720034301003016|018
720034301003017|018
720034301003018|018
720034301003019|018
720034301003020|018
720034301003021|018
720034301003022|018
720034301003023|018
720034302001000|ZZZ
720034302001001|018
720034302001002|018
720034302001003|018
720034302001004|018
720034302001005|018
720034302001006|018
720034302001007|018
720034302001008|018
720034302001009|018
720034302001010|ZZZ
720034302001011|018
720034302001012|018
720034302001013|018
720034302001014|018
720034302001015|018
720034302001016|018
720034302001017|018
720034302001018|018
720034302001019|018
720034302001020|018
720034302001021|018
720034302001022|018
720034302001023|018
720034302001024|018
720034302002000|018
720034302002001|018
720034302002002|018
720034302002003|018
720034302002004|018
720034302002005|018
720034302002006|018
720034302002007|018
720034302002008|018
720034302002009|018
720034302002010|018
720034302002011|018
720034302002012|018
720034302002013|018
720034302002014|018
720034302002015|018
720034302002016|018
720034302002017|018
720034302002018|018
720034302002019|018
720034302002020|018
720034302002021|018
720034302002022|018
720034302002023|018
720034302002024|018
720034302002025|018
720034302003000|018
720034302003001|018
720034302003002|018
720034302003003|018
720034302003004|018
720034302003005|018
720034302003006|018
720034302003007|018
720034302003008|018
720034302003009|018
720034302003010|018
720034302003011|018
720034302003012|018
720034302003013|018
720034302003014|018
720034302003015|018
720034302003016|018
720034302003017|018
720034302003018|018
720034302003019|018
720034303001000|ZZZ
720034303001001|018
720034303001002|018
720034303001003|018
720034303001004|018
720034303001005|018
720034303001006|018
720034303001007|018
720034303001008|018
720034303001009|018
720034303001010|018
720034303001011|018
720034303001012|018
720034303001013|018
720034303001014|018
720034303002000|018
720034303002001|018
720034303002002|018
720034303002003|018
720034303002004|018
720034303002005|018
720034303002006|018
720034303002007|018
720034303002008|018
720034303002009|018
720034303002010|018
720034303002011|018
720034303002012|018
720034303002013|018
720034303002014|018
720034303002015|018
720034303002016|018
720034303002017|018
720034303002018|018
720034303002019|018
720034303003000|018
720034303003001|018
720034303003002|018
720034303003003|018
720034303003004|018
720034303003005|018
720034303003006|018
720034303003007|018
720034304011000|018
720034304011001|018
720034304011002|018
720034304011003|018
720034304011004|018
720034304011005|018
720034304011006|018
720034304011007|018
720034304011008|018
720034304011009|018
720034304011010|018
720034304011011|018
720034304012000|018
720034304012001|018
720034304012002|018
720034304012003|018
720034304012004|018
720034304012005|018
720034304013000|018
720034304013001|018
720034304013002|018
720034304013003|018
720034304013004|018
720034304013005|018
720034304013006|018
720034304013007|018
720034304013008|018
720034304013009|018
720034304013010|018
720034304013011|018
720034304021000|018
720034304021001|018
720034304021002|018
720034304021003|018
720034304021004|018
720034304021005|018
720034304021006|018
720034304021007|018
720034304021008|018
720034304021009|018
720034304021010|018
720034304021011|018
720034304021012|018
720034304021013|018
720034304021014|018
720034304022000|018
720034304022001|018
720034304022002|018
720034304022003|018
720034304022004|018
720034304022005|018
720034304022006|018
720034304022007|018
720034304022008|018
720034304022009|018
720034304022010|018
720034304022011|018
720034304022012|018
720034304022013|018
720034304022014|018
720034304022015|018
720034304022016|018
720034304022017|018
720034304022018|018
720034304022019|018
720034304023000|018
720034304023001|018
720034304023002|018
720034304023003|018
720034304023004|018
720034304023005|018
720034304023006|018
720034304023007|018
720034304023008|018
720034305011000|018
720034305011001|018
720034305011002|018
720034305011003|018
720034305011004|018
720034305011005|018
720034305011006|018
720034305011007|018
720034305011008|018
720034305011009|018
720034305011010|018
720034305011011|018
720034305012000|018
720034305012001|018
720034305012002|018
720034305012003|018
720034305012004|018
720034305012005|018
720034305012006|018
720034305012007|018
720034305012008|018
720034305013000|018
720034305013001|018
720034305013002|018
720034305013003|018
720034305013004|018
720034305013005|018
720034305013006|018
720034305013007|018
720034305013008|018
720034305013009|018
720034305013010|018
720034305013011|018
720034305013012|018
720034305013013|018
720034305014000|018
720034305014001|018
720034305014002|018
720034305014003|018
720034305014004|018
720034305014005|018
720034305014006|018
720034305014007|018
720034305014008|018
720034305014009|018
720034305014010|018
720034305021000|018
720034305021001|018
720034305021002|018
720034305021003|018
720034305021004|018
720034305021005|018
720034305021006|018
720034305021007|018
720034305021008|018
720034305021009|018
720034305021010|018
720034305021011|018
720034305021012|018
720034305021013|018
720034305021014|018
720034305021015|018
720034305021016|018
720034305021017|018
720034305021018|018
720034305021019|018
720034305021020|018
720034305021021|018
720034305022000|018
720034305022001|018
720034305022002|018
720034305022003|018
720034305022004|018
720034305022005|018
720034305022006|018
720034305022007|018
720034305022008|018
720034305022009|018
720034305022010|018
720034305022011|018
720034305022012|018
720034305022013|018
720034305022014|018
720034305022015|018
720034306011000|018
720034306011001|018
720034306011002|018
720034306011003|018
720034306011004|018
720034306011005|018
720034306011006|018
720034306011007|018
720034306012000|018
720034306012001|018
720034306012002|018
720034306012003|018
720034306012004|018
720034306012005|018
720034306012006|018
720034306012007|018
720034306012008|018
720034306012009|018
720034306012010|018
720034306012011|018
720034306013000|018
720034306013001|018
720034306013002|018
720034306013003|018
720034306013004|018
720034306013005|018
720034306013006|018
720034306013007|018
720034306013008|018
720034306013009|018
720034306013010|018
720034306013011|018
720034306014000|018
720034306014001|018
720034306014002|018
720034306014003|018
720034306014004|018
720034306014005|018
720034306021000|ZZZ
720034306021001|018
720034306021002|018
720034306021003|018
720034306021004|018
720034306021005|018
720034306021006|018
720034306021007|018
720034306021008|018
720034306021009|018
720034306021010|018
720034306021011|018
720034306022000|018
720034306022001|018
720034306022002|018
720034306022003|018
720034306022004|ZZZ
720034306022005|018
720034306022006|018
720034306022007|018
720034306022008|018
720034306022009|018
720034306022010|018
720034306022011|018
720034306022012|018
720034306022013|018
720034306022014|018
720034306022015|018
720034306022016|018
720034306022017|018
720034306022018|018
720039900000001|ZZZ
720054001001000|ZZZ
720054001001001|017
720054001001002|017
720054001001003|017
720054001001004|017
720054001001005|017
720054001001006|017
720054001001007|017
720054001001008|017
720054001001009|017
720054001001010|017
720054001001011|017
720054001001012|017
720054001001013|017
720054001001014|017
720054001001015|017
720054001001016|017
720054001001017|017
720054001001018|017
720054001002000|017
720054001002001|017
720054001002002|017
720054001002003|017
720054001002004|017
720054001002005|017
720054001002006|017
720054001002007|017
720054001002008|017
720054001002009|017
720054001002010|017
720054001003000|017
720054001003001|017
720054001003002|017
720054001003003|017
720054001003004|017
720054001003005|017
720054001003006|017
720054001003007|017
720054001003008|017
720054001003009|017
720054001003010|017
720054001003011|017
720054001003012|017
720054001003013|017
720054001003014|017
720054001003015|017
720054001004000|017
720054001004001|017
720054001004002|017
720054001004003|017
720054001004004|017
720054001004005|017
720054001004006|017
720054001004007|017
720054001004008|017
720054001004009|017
720054001004010|017
720054001004011|017
720054001004012|017
720054001004013|017
720054001005000|017
720054001005001|017
720054001005002|017
720054001005003|017
720054001005004|017
720054001005005|017
720054001005006|017
720054001005007|017
720054001005008|017
720054001005009|017
720054001005010|017
720054003001000|017
720054003001001|017
720054003001002|017
720054003001003|017
720054003001004|017
720054003001005|017
720054003001006|017
720054003001007|017
720054003001008|017
720054003001009|017
720054003001010|017
720054003001011|017
720054003001012|017
720054003001013|017
720054003001014|017
720054003001015|017
720054003001016|017
720054003001017|017
720054003001018|017
720054003001019|017
720054003001020|017
720054003001021|017
720054003001022|017
720054003001023|017
720054003001024|017
720054003001025|017
720054003001026|017
720054003001027|017
720054003001028|017
720054003001029|017
720054003001030|017
720054003001031|017
720054003001032|017
720054003001033|017
720054003001034|017
720054003001035|017
720054003001036|017
720054003001037|017
720054003001038|017
720054003001039|017
720054003001040|017
720054003001041|017
720054003001042|017
720054003001043|017
720054003001044|017
720054003002000|ZZZ
720054003002001|ZZZ
720054003002002|017
720054003002003|017
720054003002004|017
720054003002005|017
720054003002006|017
720054003002007|017
720054003002008|017
720054003002009|017
720054003002010|017
720054003002011|017
720054003002012|017
720054003002013|017
720054003002014|017
720054003002015|017
720054003002016|017
720054003002017|017
720054003002018|017
720054003002019|017
720054003002020|017
720054003002021|017
720054003002022|017
720054003002023|017
720054003002024|017
720054003002025|017
720054003002026|017
720054003002027|017
720054003002028|017
720054003002029|017
720054003002030|017
720054003002031|017
720054003002032|017
720054003002033|017
720054003002034|017
720054003002035|017
720054003002036|017
720054003002037|017
720054003002038|017
720054003002039|017
720054003002040|017
720054003002041|017
720054003002042|017
720054003002043|017
720054003002044|017
720054003002045|017
720054003002046|017
720054003002047|017
720054003002048|017
720054003002049|017
720054003002050|017
720054003002051|017
720054004001000|017
720054004001001|017
720054004001002|017
720054004001003|017
720054004001004|017
720054004001005|017
720054004001006|017
720054004001007|017
720054004001008|017
720054004001009|017
720054004002000|ZZZ
720054004002001|017
720054004002002|017
720054004002003|017
720054004002004|017
720054004002005|017
720054004002006|017
720054004002007|017
720054004002008|017
720054004002009|ZZZ
720054004002010|017
720054004002011|017
720054004002012|017
720054004003000|017
720054004003001|017
720054004003002|017
720054004003003|017
720054004003004|017
720054004003005|017
720054004003006|017
720054004003007|017
720054004003008|017
720054004003009|017
720054004003010|017
720054004003011|017
720054004003012|017
720054004003013|017
720054005011000|017
720054005011001|017
720054005011002|017
720054005011003|017
720054005011004|017
720054005011005|017
720054005011006|017
720054005011007|017
720054005011008|017
720054005011009|017
720054005011010|017
720054005011011|017
720054005011012|017
720054005011013|017
720054005011014|017
720054005011015|017
720054005011016|017
720054005012000|017
720054005012001|017
720054005012002|017
720054005012003|017
720054005012004|017
720054005021000|017
720054005021001|017
720054005021002|017
720054005021003|017
720054005021004|017
720054005021005|017
720054005021006|017
720054005021007|017
720054005021008|017
720054005021009|017
720054005021010|017
720054005021011|017
720054005021012|017
720054005021013|017
720054005021014|017
720054005021015|017
720054005021016|017
720054005021017|017
720054005021018|017
720054005022000|017
720054005022001|017
720054005022002|017
720054005022003|017
720054005022004|017
720054005022005|017
720054005022006|017
720054005022007|017
720054005022008|017
720054005022009|017
720054005022010|017
720054005023000|017
720054005023001|017
720054005023002|017
720054005023003|017
720054005023004|017
720054005023005|017
720054005023006|017
720054005023007|017
720054005023008|017
720054005023009|017
720054005023010|017
720054006001000|017
720054006001001|017
720054006001002|017
720054006001003|017
720054006001004|017
720054006001005|017
720054006001006|017
720054006001007|017
720054006001008|017
720054006001009|017
720054006001010|017
720054006002000|017
720054006002001|017
720054006002002|017
720054006002003|017
720054006002004|017
720054006002005|017
720054006002006|017
720054006002007|017
720054006002008|017
720054006003000|017
720054006003001|017
720054006003002|017
720054006003003|017
720054006003004|017
720054006003005|017
720054006003006|017
720054006003007|017
720054006003008|017
720054007001000|017
720054007001001|017
720054007001002|017
720054007001003|017
720054007001004|017
720054007001005|017
720054007001006|017
720054007001007|017
720054007001008|017
720054007001009|017
720054007001010|ZZZ
720054007001011|017
720054007001012|017
720054007001013|017
720054007001014|017
720054007002000|017
720054007002001|017
720054007002002|017
720054007002003|017
720054007002004|017
720054007003000|017
720054007003001|017
720054007003002|017
720054007003003|017
720054007003004|017
720054007003005|017
720054007003006|017
720054007003007|017
720054007003008|017
720054007003009|017
720054007003010|017
720054007003011|017
720054007003012|017
720054008001000|017
720054008001001|017
720054008001002|017
720054008001003|017
720054008001004|017
720054008001005|ZZZ
720054008002000|017
720054008002001|017
720054008002002|017
720054008002003|017
720054008002004|017
720054008002005|017
720054008002006|017
720054008002007|017
720054008002008|017
720054008002009|017
720054008002010|017
720054008002011|017
720054008002012|017
720054008002013|017
720054008002014|017
720054008002015|017
720054008002016|017
720054008002017|017
720054008002018|017
720054008002019|017
720054008002020|017
720054008002021|017
720054008002022|017
720054008002023|017
720054008002024|017
720054009001000|017
720054009001001|017
720054009001002|017
720054009001003|017
720054009001004|017
720054009001005|017
720054012001000|017
720054012001001|017
720054012001002|017
720054012001003|017
720054012001004|017
720054012001005|017
720054012001006|017
720054012001007|017
720054012001008|017
720054012001009|017
720054012001010|017
720054012001011|017
720054012001012|017
720054012001013|017
720054012001014|017
720054012001015|017
720054012001016|017
720054012001017|017
720054012001018|017
720054012001019|017
720054012001020|017
720054012001021|017
720054012001022|017
720054012001023|017
720054012001024|017
720054012001025|017
720054012001026|017
720054012001027|017
720054012001028|017
720054012001029|017
720054012001030|017
720054012001031|017
720054012001032|017
720054012002000|017
720054012002001|017
720054012002002|017
720054012002003|017
720054012002004|017
720054012002005|017
720054012002006|017
720054012002007|017
720054012002008|017
720054012002009|017
720054012002010|017
720054012002011|017
720054012002012|017
720054012002013|017
720054012002014|017
720054012002015|017
720054012002016|017
720054012002017|017
720054012002018|017
720054013011000|017
720054013011001|017
720054013011002|017
720054013011003|017
720054013011004|017
720054013011005|017
720054013011006|017
720054013011007|017
720054013011008|017
720054013011009|017
720054013011010|017
720054013011011|017
720054013011012|017
720054013011013|017
720054013011014|017
720054013011015|017
720054013011016|017
720054013011017|017
720054013011018|017
720054013012000|017
720054013012001|017
720054013012002|017
720054013012003|017
720054013012004|017
720054013012005|017
720054013012006|017
720054013012007|017
720054013012008|017
720054013012009|017
720054013012010|017
720054013012011|017
720054013012012|017
720054013012013|017
720054013012014|017
720054013012015|017
720054013012016|017
720054013013000|017
720054013013001|017
720054013013002|017
720054013013003|017
720054013013004|017
720054013013005|017
720054013013006|017
720054013013007|017
720054013013008|017
720054013013009|017
720054013013010|017
720054013013011|017
720054013013012|017
720054013013013|017
720054013013014|017
720054013013015|017
720054013013016|017
720054013031000|017
720054013031001|017
720054013031002|017
720054013031003|017
720054013031004|017
720054013031005|017
720054013031006|017
720054013031007|017
720054013032000|017
720054013032001|017
720054013032002|017
720054013032003|017
720054013032004|017
720054013032005|017
720054013032006|017
720054013032007|017
720054013032008|017
720054013033000|017
720054013033001|017
720054013033002|017
720054013033003|017
720054013033004|017
720054013033005|017
720054013033006|017
720054013041000|017
720054013041001|017
720054013041002|017
720054013041003|017
720054013041004|017
720054013041005|017
720054013041006|017
720054013041007|017
720054013041008|017
720054013041009|017
720054013041010|017
720054013041011|017
720054013041012|017
720054013041013|017
720054013041014|017
720054013042000|017
720054013042001|017
720054013042002|017
720054013042003|017
720054013042004|017
720054013042005|017
720054013042006|017
720054013042007|017
720054013042008|017
720054013042009|017
720054013042010|017
720054013042011|017
720054013042012|017
720054013042013|017
720054013042014|017
720054014011000|017
720054014011001|017
720054014011002|017
720054014011003|017
720054014011004|017
720054014011005|017
720054014011006|017
720054014011007|017
720054014011008|017
720054014011009|017
720054014011010|017
720054014011011|017
720054014011012|017
720054014011013|017
720054014012000|017
720054014012001|017
720054014012002|017
720054014012003|017
720054014012004|017
720054014012005|017
720054014012006|017
720054014012007|017
720054014012008|017
720054014012009|017
720054014012010|017
720054014012011|017
720054014012012|017
720054014012013|017
720054014012014|017
720054014012015|017
720054014012016|017
720054014012017|017
720054014012018|017
720054014013000|017
720054014013001|017
720054014013002|017
720054014013003|017
720054014013004|017
720054014013005|017
720054014013006|017
720054014013007|017
720054014013008|017
720054014013009|017
720054014013010|017
720054014021000|017
720054014021001|017
720054014021002|017
720054014021003|017
720054014021004|017
720054014021005|017
720054014021006|017
720054014021007|017
720054014022000|017
720054014022001|017
720054014022002|017
720054014022003|017
720054014022004|017
720054014022005|017
720054014022006|017
720054014022007|017
720054014022008|017
720054014022009|017
720054014022010|017
720054014022011|017
720054014022012|017
720054014022013|017
720054014023000|017
720054014023001|017
720054014023002|017
720054014023003|017
720054014023004|017
720054014024000|017
720054014024001|017
720054014024002|017
720054014024003|017
720054014024004|017
720054014024005|017
720054014024006|017
720054014024007|017
720054014024008|017
720054015001000|017
720054015001001|017
720054015001002|017
720054015001003|017
720054015001004|ZZZ
720054015001005|017
720054015001006|017
720054015001007|017
720054015001008|017
720054015001009|017
720054015001010|017
720054015001011|017
720054015001012|017
720054015001013|017
720054015001014|017
720054015001015|017
720054015001016|017
720054015001017|017
720054015001018|017
720054015001019|017
720054015001020|017
720054015001021|017
720054015001022|017
720054015001023|017
720054015001024|017
720054015001025|017
720054015001026|017
720054015001027|017
720054015001028|017
720054015001029|017
720054015001030|017
720054015001031|017
720054015001032|017
720054015001033|017
720054015001034|017
720054015001035|017
720054015001036|017
720054015001037|017
720054015001038|017
720054015001039|017
720054015001040|017
720054015001041|017
720054015001042|017
720054015001043|017
720054015001044|017
720054015001045|017
720054015001046|017
720054015001047|ZZZ
720054015001048|017
720054015001049|017
720054015001050|017
720054015001051|017
720054015001052|017
720054015001053|017
720054015001054|017
720054015001055|017
720054015001056|017
720054015001057|017
720054015001058|017
720054015001059|017
720054015001060|017
720054015001061|017
720054015001062|017
720054015001063|017
720054015001064|017
720059900000001|ZZZ
720059900000002|ZZZ
720059900000003|ZZZ
720072301001000|005
720072301001001|005
720072301001002|005
720072301001003|005
720072301001004|005
720072301001005|005
720072301001006|005
720072301001007|005
720072301001008|005
720072301001009|005
720072301001010|005
720072301001011|005
720072301001012|005
720072301001013|005
720072301001014|005
720072301001015|005
720072301001016|005
720072301002000|005
720072301002001|005
720072301002002|005
720072301002003|005
720072301002004|005
720072301002005|005
720072301002006|005
720072301002007|005
720072301002008|005
720072301002009|005
720072301002010|005
720072301002011|005
720072301002012|005
720072301002013|005
720072301002014|005
720072301002015|005
720072301002016|005
720072301002017|005
720072301002018|005
720072301002019|005
720072301002020|005
720072301003000|005
720072301003001|005
720072301003002|005
720072301003003|005
720072301003004|005
720072301003005|005
720072301003006|005
720072301003007|005
720072301003008|005
720072301003009|005
720072301003010|005
720072301003011|005
720072301003012|005
720072301003013|005
720072301003014|005
720072301003015|005
720072302001000|005
720072302001001|005
720072302001002|005
720072302001003|005
720072302001004|005
720072302001005|005
720072302002000|005
720072302002001|005
720072302002002|005
720072302002003|005
720072302002004|005
720072302002005|005
720072302002006|005
720072302002007|005
720072302002008|005
720072302002009|005
720072302003000|005
720072302003001|005
720072302003002|005
720072302003003|005
720072302003004|005
720072302003005|005
720072302004000|005
720072302004001|005
720072302004002|005
720072302004003|005
720072302004004|005
720072302004005|005
720072302004006|005
720072302004007|005
720072302004008|005
720072302004009|005
720072302004010|005
720072302004011|005
720072302004012|005
720072302004013|005
720072302004014|005
720072302004015|005
720072302004016|005
720072302004017|005
720072302004018|005
720072302004019|005
720072303001000|005
720072303001001|005
720072303001002|005
720072303001003|005
720072303001004|005
720072303001005|005
720072303001006|005
720072303001007|005
720072303001008|005
720072303001009|005
720072303001010|005
720072303001011|005
720072303001012|005
720072303001013|005
720072303001014|005
