BLOCKID|COUNTYFP|DISTRICT
720019565001015|001|0055.6
720019565001016|001|0055.6
720019565001017|001|0055.6
720019565001018|001|0055.6
720019565001019|001|0055.6
720019565001020|001|0055.6
720019565001021|001|0055.7
720019565001022|001|0055.7
720019565001023|001|0055.7
720019565001024|001|0055.7
720019565001025|001|0055.7
720019565001026|001|0055.7
720019565001027|001|0055.7
720019565001028|001|0055.7
720019565001029|001|0055.7
720019565001030|001|0055.6
720019565001031|001|0055.6
720019565001032|001|0055.7
720019565001033|001|0055.7
720019565001034|001|0055.7
720019565001035|001|0055.7
720019565001036|001|0055.6
720019565001037|001|0055.6
720019565001038|001|0055.6
720019565001039|001|0055.5
720019565001040|001|055.12
720019565001041|001|0055.5
720019565001042|001|055.11
720019565001043|001|0055.6
720019565001044|001|055.11
720019565001045|001|055.11
720019565002000|001|0055.6
720019565002001|001|0055.6
720019565002002|001|0055.6
720019565002003|001|0055.4
720019565002004|001|0055.4
720019565002005|001|0055.4
720019565002006|001|0055.6
720019565002007|001|0055.6
720019565002008|001|0055.6
720019565002009|001|0055.6
720019565002010|001|0055.6
720019565002011|001|0055.4
720019565002012|001|0055.4
720019565002013|001|0055.4
720019565002014|001|0055.6
720019565002015|001|0055.6
720019565002016|001|0055.4
720019565002017|001|0055.6
720019565002018|001|0055.6
720019565002019|001|0055.4
720019565002020|001|0055.6
720019565002021|001|0055.6
720019565002022|001|0055.6
720019565002023|001|0055.4
720019565002024|001|0055.4
720019565002025|001|0055.4
720019565002026|001|0055.4
720019565002027|001|0055.4
720019565002028|001|0055.4
720019565002029|001|0055.6
720019565002030|001|0055.6
720019565002031|001|0055.6
720019565002032|001|0055.4
720019565002033|001|0055.4
720019565002034|001|0055.4
720019565002035|001|0055.4
720019565002036|001|0055.4
720019565002037|001|0055.4
720019565002038|001|0055.6
720019565002039|001|0055.6
720019565002040|001|0055.6
720019565002041|001|0055.7
720019565002042|001|0055.7
720019566001000|001|0055.2
720019566001001|001|055.12
720019566001002|001|055.12
720019566001003|001|055.12
720019566001004|001|0055.2
720019566001005|001|055.12
720019566001006|001|055.12
720019566001007|001|055.12
720019566001008|001|055.12
720019566001009|001|055.12
720019566001010|001|055.12
720019566001011|001|055.12
720019566001012|001|055.12
720019566001013|001|055.12
720019566001014|001|055.12
720019566001015|001|055.12
720019566001016|001|055.12
720019566001017|001|055.12
720019566001018|001|055.12
720019566001019|001|055.12
720019566002000|001|055.12
720019566002001|001|055.12
720019566002002|001|055.12
720019566002003|001|055.12
720019566002004|001|055.12
720019566002005|001|055.12
720019566002006|001|055.12
720019566002007|001|0055.5
720019566002008|001|055.12
720019566002009|001|055.12
720019566002010|001|055.12
720019566002011|001|055.12
720019566002012|001|055.12
720019566002013|001|055.12
720019566002014|001|055.12
720019566002015|001|055.12
720019567001000|001|0055.2
720019567001001|001|0055.2
720019567001002|001|0055.2
720019567001003|001|0055.2
720019567001004|001|0055.2
720019567001005|001|0055.2
720019567001006|001|055.12
720019567001007|001|055.12
720019567001008|001|055.12
720019567001009|001|055.12
720019567001010|001|055.12
720019567001011|001|055.12
720019567001012|001|055.12
720019567001013|001|055.12
720019567001014|001|055.12
720019567001015|001|055.12
720019567001016|001|055.12
720019567001017|001|055.12
720019567001018|001|055.12
720019567001019|001|055.12
720019567002000|001|055.12
720019567002001|001|055.12
720019567002002|001|055.12
720019567002003|001|055.12
720019567002004|001|055.12
720019567002005|001|055.12
720019567002006|001|055.12
720019567002007|001|055.12
720019567002008|001|055.12
720019567002009|001|055.12
720019567002010|001|055.12
720019567002011|001|055.12
720019567002012|001|055.12
720019567002013|001|055.12
720019567002014|001|055.12
720019567002015|001|055.12
720019567002016|001|055.12
720019567002017|001|055.12
720019567002018|001|055.12
720019567002019|001|055.12
720019567002020|001|055.12
720019567002021|001|055.12
720019568001000|001|0055.1
720019568001001|001|0055.2
720019568001002|001|0055.2
720019568001003|001|0055.2
720019568001004|001|0055.2
720019568001005|001|0055.2
720019568001006|001|0055.2
720019568001007|001|0055.2
720019568001008|001|0055.2
720019568001009|001|0055.2
720019568001010|001|0055.2
720019568001011|001|0055.2
720019568001012|001|0055.2
720019568001013|001|0055.2
720019568001014|001|0055.2
720019568001015|001|0055.2
720019568001016|001|0055.2
720019568001017|001|0055.2
720019568001018|001|0055.2
720019568001019|001|0055.2
720019568001020|001|0055.2
720019568001021|001|0055.2
720019568001022|001|0055.2
720019568001023|001|0055.2
720019568001024|001|0055.2
720019568001025|001|0055.2
720019568001026|001|0055.2
